Price,Close,High,Low,Open,Volume
Ticker,TNXP,TNXP,TNXP,TNXP,TNXP
Date,,,,,
2024-01-02,1344.0,1408.0,1248.0,1312.0,1121
2024-01-03,1248.0,1376.0,1216.0,1344.0,788
2024-01-04,1216.0,1248.0,1184.0,1248.0,577
2024-01-05,1184.0,1216.0,1184.0,1216.0,361
2024-01-08,1152.0,1216.0,1056.0,1184.0,771
2024-01-09,1024.0,1152.0,992.0,1152.0,1569
2024-01-10,992.0,1024.0,960.0,992.0,865
2024-01-11,896.0,1024.0,896.0,1024.0,643
2024-01-12,960.0,960.0,896.0,896.0,550
2024-01-16,992.0,992.0,960.0,992.0,405
2024-01-17,928.0,992.0,896.0,992.0,275
2024-01-18,864.0,960.0,864.0,960.0,358
2024-01-19,896.0,896.0,832.0,864.0,310
2024-01-22,960.0,960.0,896.0,928.0,260
2024-01-23,928.0,992.0,928.0,960.0,183
2024-01-24,896.0,960.0,896.0,928.0,268
2024-01-25,992.0,992.0,896.0,960.0,359
2024-01-26,960.0,992.0,960.0,992.0,184
2024-01-29,1024.0,1056.0,992.0,1056.0,402
2024-01-30,992.0,1056.0,992.0,1024.0,218
2024-01-31,1024.0,1024.0,992.0,1024.0,203
2024-02-01,1088.0,1120.0,1024.0,1056.0,533
2024-02-02,1056.0,1152.0,1024.0,1152.0,278
2024-02-05,1024.0,1088.0,992.0,1088.0,265
2024-02-06,1056.0,1088.0,992.0,992.0,243
2024-02-07,1056.0,1088.0,1024.0,1056.0,170
2024-02-08,1056.0,1056.0,1024.0,1056.0,156
2024-02-09,1056.0,1088.0,1024.0,1056.0,123
2024-02-12,1184.0,1248.0,1056.0,1120.0,1007
2024-02-13,1120.0,1216.0,1088.0,1216.0,424
2024-02-14,1248.0,1248.0,1088.0,1184.0,362
2024-02-15,1248.0,1248.0,1216.0,1216.0,405
2024-02-16,1216.0,1248.0,1184.0,1248.0,259
2024-02-20,1184.0,1248.0,1184.0,1248.0,292
2024-02-21,1120.0,1248.0,1120.0,1216.0,245
2024-02-22,1024.0,1152.0,992.0,1152.0,387
2024-02-23,1024.0,1056.0,992.0,1024.0,287
2024-02-26,1088.0,1152.0,1056.0,1088.0,381
